Time: 1715800863.029602, Delay: 61.75518035888672 ms
Time: 1715800863.474476, Delay: 217.55456924438477 ms
Time: 1715800864.436629, Delay: 304.2008876800537 ms
Time: 1715800864.959744, Delay: 61.7365837097168 ms
Time: 1715800865.249187, Delay: 64.0707015991211 ms
Time: 1715800865.562877, Delay: 87.62121200561523 ms
Time: 1715800866.095477, Delay: 307.1560859680176 ms
Time: 1715800866.529217, Delay: 61.708927154541016 ms
Time: 1715800867.057857, Delay: 67.22545623779297 ms
Time: 1715800867.345451, Delay: 62.51811981201172 ms
Time: 1715800867.663871, Delay: 91.68601036071777 ms
Time: 1715800868.183285, Delay: 294.46959495544434 ms
Time: 1715800869.152451, Delay: 69.23556327819824 ms
Time: 1715800869.4533608, Delay: 74.7995376586914 ms
Time: 1715800869.759422, Delay: 79.35833930969238 ms
Time: 1715800870.321082, Delay: 319.60010528564453 ms
Time: 1715800870.8102999, Delay: 263.18955421447754 ms
Time: 1715800871.3750641, Delay: 310.28103828430176 ms
Time: 1715800871.857441, Delay: 253.157377243042 ms
Time: 1715800872.992814, Delay: 817.9547786712646 ms
Time: 1715800873.486484, Delay: 254.4882297515869 ms
Time: 1715800874.04015, Delay: 282.60326385498047 ms
Time: 1715800874.563172, Delay: 259.1538429260254 ms
Time: 1715800875.714685, Delay: 833.2798480987549 ms
Time: 1715800876.1940532, Delay: 156.1877727508545 ms
Time: 1715800877.023649, Delay: 203.75514030456543 ms
Time: 1715800877.550535, Delay: 103.67751121520996 ms
Time: 1715800878.801141, Delay: 970.9291458129883 ms
Time: 1715800879.306797, Delay: 245.45550346374512 ms
Time: 1715800879.944702, Delay: 243.47448348999023 ms
Time: 1715800880.330347, Delay: 107.76329040527344 ms
Time: 1715800880.92482, Delay: 303.424596786499 ms
Time: 1715800881.420589, Delay: 194.7486400604248 ms
Time: 1715800881.895422, Delay: 219.03038024902344 ms
Time: 1715800882.374079, Delay: 250.6868839263916 ms
Time: 1715800882.807171, Delay: 208.2223892211914 ms
Time: 1715800883.091786, Delay: 61.91611289978027 ms
Time: 1715800883.391005, Delay: 74.82099533081055 ms
Time: 1715800883.914992, Delay: 302.4110794067383 ms
Time: 1715800884.358745, Delay: 67.70205497741699 ms
Time: 1715800884.8843, Delay: 61.960458755493164 ms
Time: 1715800885.1749609, Delay: 64.11290168762207 ms
Time: 1715800885.489055, Delay: 90.0566577911377 ms
Time: 1715800886.011539, Delay: 298.3362674713135 ms
Time: 1715800886.456539, Delay: 61.69009208679199 ms
Time: 1715800886.9799712, Delay: 62.012434005737305 ms
Time: 1715800887.2660449, Delay: 62.19744682312012 ms
Time: 1715800887.585608, Delay: 96.49848937988281 ms
Time: 1715800888.110059, Delay: 299.2258071899414 ms
Time: 1715800888.554089, Delay: 61.7215633392334 ms
Time: 1715800889.0780292, Delay: 81.6347599029541 ms
Time: 1715800889.366291, Delay: 62.409400939941406 ms
Time: 1715800889.706605, Delay: 90.73877334594727 ms
Time: 1715800890.275546, Delay: 303.8134574890137 ms
Time: 1715800891.368051, Delay: 812.9715919494629 ms
Time: 1715800892.3576021, Delay: 748.9373683929443 ms
Time: 1715800893.443073, Delay: 841.2456512451172 ms
Time: 1715800893.883451, Delay: 204.05006408691406 ms
Time: 1715800894.380206, Delay: 268.8331604003906 ms
Time: 1715800894.8166559, Delay: 106.30416870117188 ms
Time: 1715800895.386473, Delay: 125.50902366638184 ms
Time: 1715800895.827432, Delay: 98.00195693969727 ms
Time: 1715800896.149209, Delay: 95.08848190307617 ms
Time: 1715800897.943563, Delay: 1437.6981258392334 ms
Time: 1715800898.290735, Delay: 98.74820709228516 ms
Time: 1715800899.235345, Delay: 713.7353420257568 ms
Time: 1715800899.6954062, Delay: 224.8833179473877 ms
Time: 1715800900.170254, Delay: 252.87175178527832 ms
Time: 1715800900.695232, Delay: 298.7096309661865 ms
Time: 1715800901.138554, Delay: 61.58018112182617 ms
Time: 1715800901.661365, Delay: 61.70511245727539 ms
Time: 1715800901.948871, Delay: 62.361955642700195 ms
Time: 1715800902.2655659, Delay: 91.31240844726562 ms
Time: 1715800902.7911732, Delay: 299.41511154174805 ms
Time: 1715800903.2347672, Delay: 61.960697174072266 ms
Time: 1715800903.7589178, Delay: 61.82074546813965 ms
Time: 1715800904.045013, Delay: 61.73419952392578 ms
Time: 1715800904.357621, Delay: 88.00649642944336 ms
Time: 1715800904.8942568, Delay: 312.11352348327637 ms
Time: 1715800905.3420951, Delay: 62.00528144836426 ms
Time: 1715800905.860657, Delay: 62.207937240600586 ms
Time: 1715800906.148583, Delay: 61.80524826049805 ms
Time: 1715800906.437294, Delay: 63.94171714782715 ms
Time: 1715800906.9418821, Delay: 267.8334712982178 ms
Time: 1715800907.398676, Delay: 61.705827713012695 ms
Time: 1715800907.898251, Delay: 61.67268753051758 ms
Time: 1715800908.187646, Delay: 61.49458885192871 ms
Time: 1715800908.5019572, Delay: 89.57839012145996 ms
Time: 1715800909.006808, Delay: 62.21270561218262 ms
Time: 1715800909.293678, Delay: 61.795949935913086 ms
Time: 1715800909.613993, Delay: 93.43147277832031 ms
Time: 1715800910.136564, Delay: 297.4433898925781 ms
Time: 1715800910.5184371, Delay: 62.44254112243652 ms
Time: 1715800910.806481, Delay: 62.13188171386719 ms
Time: 1715800911.138782, Delay: 93.37854385375977 ms
Time: 1715800911.5657868, Delay: 61.72490119934082 ms
Time: 1715800911.852581, Delay: 61.910152435302734 ms
Time: 1715800912.174906, Delay: 96.94647789001465 ms
Time: 1715800912.460119, Delay: 62.03770637512207 ms
Time: 1715800912.746546, Delay: 61.757802963256836 ms
Time: 1715800913.237965, Delay: 261.4426612854004 ms
Time: 1715800913.6704261, Delay: 64.29719924926758 ms
Time: 1715800913.9609191, Delay: 63.11607360839844 ms
Time: 1715800914.2697961, Delay: 84.34700965881348 ms
Time: 1715800914.560792, Delay: 66.80464744567871 ms
Time: 1715800914.870395, Delay: 62.72554397583008 ms
Time: 1715800915.322596, Delay: 224.73454475402832 ms
Time: 1715800915.7642171, Delay: 61.841487884521484 ms
Time: 1715800916.050068, Delay: 61.88631057739258 ms
Time: 1715800916.453526, Delay: 155.02572059631348 ms
Time: 1715800916.953985, Delay: 275.1603126525879 ms
Time: 1715800917.479382, Delay: 299.5867729187012 ms
Time: 1715800917.860584, Delay: 61.96117401123047 ms
Time: 1715800918.148795, Delay: 62.151432037353516 ms
Time: 1715800918.481212, Delay: 92.42987632751465 ms
Time: 1715800918.909647, Delay: 63.25197219848633 ms
Time: 1715800919.198848, Delay: 62.398672103881836 ms
Time: 1715800919.5139048, Delay: 89.11252021789551 ms
Time: 1715800919.802444, Delay: 63.189029693603516 ms
Time: 1715800920.105678, Delay: 76.80940628051758 ms
Time: 1715800920.627409, Delay: 296.567440032959 ms
Time: 1715800921.071112, Delay: 61.77258491516113 ms
Time: 1715800921.633276, Delay: 62.04056739807129 ms
Time: 1715800922.1187289, Delay: 66.87331199645996 ms
Time: 1715800922.656657, Delay: 63.475608825683594 ms
Time: 1715800922.94517, Delay: 62.24203109741211 ms
Time: 1715800923.246102, Delay: 74.66602325439453 ms
Time: 1715800923.714598, Delay: 242.9640293121338 ms
Time: 1715800924.218666, Delay: 62.338829040527344 ms
Time: 1715800924.744271, Delay: 61.78426742553711 ms
Time: 1715800925.034133, Delay: 64.34249877929688 ms
Time: 1715800925.362274, Delay: 103.59358787536621 ms
Time: 1715800925.870782, Delay: 283.57410430908203 ms
Time: 1715800926.254275, Delay: 62.29567527770996 ms
Time: 1715800926.538505, Delay: 61.68365478515625 ms
Time: 1715800926.9179058, Delay: 156.5721035003662 ms
Time: 1715800927.362968, Delay: 62.67189979553223 ms
Time: 1715800928.361974, Delay: 588.8791084289551 ms
Time: 1715800928.875166, Delay: 91.54653549194336 ms
Time: 1715800929.212645, Delay: 90.31081199645996 ms
Time: 1715800929.5442371, Delay: 104.30455207824707 ms
Time: 1715800930.120849, Delay: 334.65099334716797 ms
Time: 1715800930.661588, Delay: 284.31034088134766 ms
Time: 1715800931.256351, Delay: 280.5624008178711 ms
