Time: 1715803686.244684, Delay: 55.83548545837402 ms
Time: 1715803686.5346491, Delay: 55.59110641479492 ms
Time: 1715803687.046907, Delay: 274.49512481689453 ms
Time: 1715803687.548129, Delay: 72.38602638244629 ms
Time: 1715803688.004523, Delay: 53.12657356262207 ms
Time: 1715803688.2958028, Delay: 54.52394485473633 ms
Time: 1715803688.674162, Delay: 146.75521850585938 ms
Time: 1715803689.201334, Delay: 291.49627685546875 ms
Time: 1715803689.642653, Delay: 54.93736267089844 ms
Time: 1715803690.167122, Delay: 53.30038070678711 ms
Time: 1715803690.455276, Delay: 53.65633964538574 ms
Time: 1715803690.7699032, Delay: 77.79407501220703 ms
Time: 1715803691.303773, Delay: 301.38707160949707 ms
Time: 1715803691.744129, Delay: 54.280996322631836 ms
Time: 1715803692.270072, Delay: 54.288625717163086 ms
Time: 1715803692.558722, Delay: 53.94482612609863 ms
Time: 1715803692.866215, Delay: 73.00066947937012 ms
Time: 1715803693.397552, Delay: 296.8149185180664 ms
Time: 1715803693.840769, Delay: 55.211782455444336 ms
Time: 1715803694.367284, Delay: 53.14946174621582 ms
Time: 1715803694.65863, Delay: 56.197404861450195 ms
Time: 1715803694.971253, Delay: 76.29966735839844 ms
Time: 1715803695.497008, Delay: 278.17296981811523 ms
Time: 1715803695.939101, Delay: 53.66778373718262 ms
Time: 1715803696.47084, Delay: 53.459882736206055 ms
Time: 1715803696.759351, Delay: 53.421974182128906 ms
Time: 1715803697.0725892, Delay: 77.21590995788574 ms
Time: 1715803697.6129742, Delay: 283.48565101623535 ms
Time: 1715803698.119616, Delay: 270.8101272583008 ms
Time: 1715803698.63965, Delay: 285.7544422149658 ms
Time: 1715803699.090583, Delay: 55.27663230895996 ms
Time: 1715803699.6095638, Delay: 53.20239067077637 ms
Time: 1715803699.898537, Delay: 54.60476875305176 ms
Time: 1715803700.2143822, Delay: 81.17508888244629 ms
Time: 1715803700.75392, Delay: 287.4760627746582 ms
Time: 1715803701.182403, Delay: 53.6341667175293 ms
Time: 1715803701.707447, Delay: 52.95586585998535 ms
Time: 1715803701.994584, Delay: 53.400278091430664 ms
Time: 1715803702.313078, Delay: 85.24703979492188 ms
Time: 1715803702.8335, Delay: 290.53425788879395 ms
Time: 1715803703.2223291, Delay: 53.53283882141113 ms
Time: 1715803703.51348, Delay: 54.65960502624512 ms
Time: 1715803703.83648, Delay: 73.74072074890137 ms
Time: 1715803704.2642019, Delay: 53.01046371459961 ms
Time: 1715803704.554471, Delay: 53.20310592651367 ms
Time: 1715803704.932276, Delay: 142.68112182617188 ms
Time: 1715803705.378431, Delay: 53.63965034484863 ms
Time: 1715803705.9024289, Delay: 55.29332160949707 ms
Time: 1715803706.1925719, Delay: 53.873300552368164 ms
Time: 1715803706.515455, Delay: 88.48357200622559 ms
Time: 1715803707.043027, Delay: 290.1580333709717 ms
Time: 1715803707.426174, Delay: 53.008079528808594 ms
Time: 1715803707.715999, Delay: 53.11274528503418 ms
Time: 1715803708.0429802, Delay: 78.52792739868164 ms
Time: 1715803708.472206, Delay: 53.14373970031738 ms
Time: 1715803708.760134, Delay: 53.07340621948242 ms
Time: 1715803709.07644, Delay: 81.18939399719238 ms
Time: 1715803709.520077, Delay: 53.54666709899902 ms
Time: 1715803709.812439, Delay: 55.88054656982422 ms
Time: 1715803710.125233, Delay: 77.23188400268555 ms
Time: 1715803710.568567, Delay: 55.08303642272949 ms
Time: 1715803710.8613791, Delay: 57.87086486816406 ms
Time: 1715803711.17342, Delay: 80.68275451660156 ms
Time: 1715803711.462087, Delay: 53.48825454711914 ms
Time: 1715803711.7654212, Delay: 53.330421447753906 ms
Time: 1715803712.480499, Delay: 454.2701244354248 ms
Time: 1715803714.48328, Delay: 1703.1419277191162 ms
Time: 1715803715.512224, Delay: 790.0710105895996 ms
Time: 1715803716.927084, Delay: 992.5005435943604 ms
Time: 1715803720.0718532, Delay: 2777.674913406372 ms
Time: 1715803721.119256, Delay: 602.8289794921875 ms
Time: 1715803721.885204, Delay: 530.1737785339355 ms
Time: 1715803722.8275871, Delay: 699.6421813964844 ms
Time: 1715803725.441911, Delay: 2372.8766441345215 ms
Time: 1715803726.362679, Delay: 557.9853057861328 ms
Time: 1715803744.662134, Delay: 17901.392459869385 ms
Time: 1715803744.950473, Delay: 52.83856391906738 ms
Time: 1715803745.268265, Delay: 82.8237533569336 ms
Time: 1715803745.711791, Delay: 53.08055877685547 ms
Time: 1715803745.999659, Delay: 52.81329154968262 ms
Time: 1715803746.3164601, Delay: 81.41899108886719 ms
Time: 1715803746.7583292, Delay: 53.31015586853027 ms
Time: 1715803747.0461051, Delay: 53.722381591796875 ms
Time: 1715803747.367157, Delay: 84.63478088378906 ms
Time: 1715803747.810581, Delay: 52.721500396728516 ms
Time: 1715803748.1004539, Delay: 54.210662841796875 ms
Time: 1715803748.411293, Delay: 75.08158683776855 ms
Time: 1715803748.921237, Delay: 52.98161506652832 ms
Time: 1715803749.210252, Delay: 53.423166275024414 ms
Time: 1715803749.526078, Delay: 75.76394081115723 ms
Time: 1715803750.046832, Delay: 285.30335426330566 ms
Time: 1715803750.427335, Delay: 52.77705192565918 ms
Time: 1715803750.714272, Delay: 52.74629592895508 ms
Time: 1715803751.049063, Delay: 83.20999145507812 ms
Time: 1715803751.478289, Delay: 55.945396423339844 ms
Time: 1715803751.7673228, Delay: 53.34901809692383 ms
Time: 1715803752.086736, Delay: 81.59637451171875 ms
Time: 1715803752.52779, Delay: 52.649736404418945 ms
Time: 1715803752.817015, Delay: 52.591800689697266 ms
Time: 1715803753.1989381, Delay: 147.17507362365723 ms
Time: 1715803753.643012, Delay: 53.461313247680664 ms
Time: 1715803754.1670132, Delay: 53.571462631225586 ms
Time: 1715803754.455948, Delay: 52.90341377258301 ms
Time: 1715803754.77124, Delay: 80.6269645690918 ms
Time: 1715803755.296291, Delay: 287.20760345458984 ms
Time: 1715803755.677282, Delay: 52.666425704956055 ms
Time: 1715803755.965906, Delay: 52.70862579345703 ms
Time: 1715803756.298254, Delay: 82.00669288635254 ms
Time: 1715803756.725151, Delay: 53.018808364868164 ms
Time: 1715803757.0132182, Delay: 53.45892906188965 ms
Time: 1715803757.3326101, Delay: 82.49282836914062 ms
Time: 1715803757.775539, Delay: 53.678274154663086 ms
Time: 1715803758.063731, Delay: 53.02596092224121 ms
Time: 1715803758.381248, Delay: 82.79061317443848 ms
Time: 1715803758.824809, Delay: 52.67333984375 ms
Time: 1715803759.11409, Delay: 52.877187728881836 ms
Time: 1715803759.435785, Delay: 79.92720603942871 ms
Time: 1715803759.874243, Delay: 54.245948791503906 ms
Time: 1715803760.162556, Delay: 53.18713188171387 ms
Time: 1715803760.479091, Delay: 80.82222938537598 ms
Time: 1715803760.923957, Delay: 55.12642860412598 ms
Time: 1715803761.214071, Delay: 53.1461238861084 ms
Time: 1715803761.528041, Delay: 80.12056350708008 ms
Time: 1715803761.970387, Delay: 53.95698547363281 ms
Time: 1715803762.258621, Delay: 53.246498107910156 ms
Time: 1715803762.638102, Delay: 143.81027221679688 ms
Time: 1715803763.080124, Delay: 54.3215274810791 ms
Time: 1715803763.604466, Delay: 52.65474319458008 ms
Time: 1715803763.892365, Delay: 52.704572677612305 ms
Time: 1715803764.2036932, Delay: 74.86391067504883 ms
Time: 1715803764.687329, Delay: 231.4770221710205 ms
Time: 1715803765.116873, Delay: 55.26614189147949 ms
Time: 1715803765.405337, Delay: 53.00736427307129 ms
Time: 1715803765.722039, Delay: 79.92720603942871 ms
Time: 1715803766.1662772, Delay: 52.42919921875 ms
Time: 1715803766.45549, Delay: 52.63638496398926 ms
Time: 1715803766.832341, Delay: 141.9692039489746 ms
Time: 1715803767.277857, Delay: 52.58893966674805 ms
Time: 1715803767.8041961, Delay: 52.83641815185547 ms
Time: 1715803768.092911, Delay: 52.69670486450195 ms
Time: 1715803768.406398, Delay: 80.29580116271973 ms
Time: 1715803768.93184, Delay: 291.44978523254395 ms
Time: 1715803769.316396, Delay: 53.84635925292969 ms
Time: 1715803769.605458, Delay: 53.49016189575195 ms
Time: 1715803769.942506, Delay: 76.03263854980469 ms
Time: 1715803770.3622909, Delay: 79.91600036621094 ms
Time: 1715803770.6521752, Delay: 54.46648597717285 ms
Time: 1715803771.0336819, Delay: 140.43211936950684 ms
Time: 1715803771.5842628, Delay: 303.936243057251 ms
Time: 1715803772.521465, Delay: 559.8104000091553 ms
Time: 1715803773.158933, Delay: 374.1295337677002 ms
Time: 1715803797.29504, Delay: 23881.732940673828 ms
Time: 1715803798.9103281, Delay: 1340.179204940796 ms
Time: 1715803799.922206, Delay: 735.8410358428955 ms
Time: 1715803801.614055, Delay: 1457.2584629058838 ms
Time: 1715803801.938177, Delay: 63.25697898864746 ms
Time: 1715803802.441143, Delay: 268.08881759643555 ms
Time: 1715803802.8881989, Delay: 52.77109146118164 ms
Time: 1715803803.1834261, Delay: 59.751033782958984 ms
Time: 1715803803.5117629, Delay: 71.35486602783203 ms
Time: 1715803803.933012, Delay: 77.81577110290527 ms
Time: 1715803804.221338, Delay: 52.85525321960449 ms
Time: 1715803804.539514, Delay: 82.63397216796875 ms
Time: 1715803804.982286, Delay: 54.97241020202637 ms
Time: 1715803805.272321, Delay: 53.636789321899414 ms
Time: 1715803805.5889401, Delay: 81.2995433807373 ms
Time: 1715803806.0300071, Delay: 56.51450157165527 ms
Time: 1715803806.317034, Delay: 52.79135704040527 ms
Time: 1715803806.635797, Delay: 83.56308937072754 ms
Time: 1715803807.0788748, Delay: 54.98671531677246 ms
Time: 1715803807.369856, Delay: 52.87981033325195 ms
Time: 1715803807.7132108, Delay: 79.94413375854492 ms
Time: 1715803808.128781, Delay: 74.96905326843262 ms
Time: 1715803808.422763, Delay: 58.41326713562012 ms
Time: 1715803808.73321, Delay: 74.96166229248047 ms
Time: 1715803809.17713, Delay: 53.173065185546875 ms
Time: 1715803809.471977, Delay: 56.67996406555176 ms
Time: 1715803809.7812722, Delay: 74.87964630126953 ms
Time: 1715803810.225415, Delay: 57.468414306640625 ms
Time: 1715803810.514143, Delay: 52.819252014160156 ms
Time: 1715803810.829466, Delay: 82.02362060546875 ms
Time: 1715803811.274963, Delay: 52.52480506896973 ms
Time: 1715803811.567766, Delay: 52.23202705383301 ms
Time: 1715803811.8989, Delay: 76.21121406555176 ms
Time: 1715803812.327432, Delay: 79.29182052612305 ms
Time: 1715803812.616933, Delay: 53.545236587524414 ms
Time: 1715803812.9262311, Delay: 73.26126098632812 ms
Time: 1715803813.568723, Delay: 54.96716499328613 ms
Time: 1715803814.169039, Delay: 365.004301071167 ms
Time: 1715803814.5049899, Delay: 96.57120704650879 ms
Time: 1715803814.811435, Delay: 53.50685119628906 ms
Time: 1715803815.1014888, Delay: 54.439544677734375 ms
Time: 1715803815.4671261, Delay: 53.664445877075195 ms
Time: 1715803815.757477, Delay: 53.52783203125 ms
Time: 1715803816.082724, Delay: 79.62918281555176 ms
Time: 1715803816.514849, Delay: 53.978681564331055 ms
Time: 1715803816.804777, Delay: 53.08079719543457 ms
Time: 1715803817.129809, Delay: 56.379079818725586 ms
Time: 1715803817.418195, Delay: 53.69234085083008 ms
Time: 1715803817.7371762, Delay: 83.98914337158203 ms
Time: 1715803818.048835, Delay: 52.336692810058594 ms
Time: 1715803818.3721101, Delay: 53.2383918762207 ms
Time: 1715803818.797795, Delay: 189.53466415405273 ms
Time: 1715803819.099991, Delay: 53.03239822387695 ms
Time: 1715803819.389905, Delay: 53.58171463012695 ms
Time: 1715803819.8980422, Delay: 271.7313766479492 ms
Time: 1715803820.419478, Delay: 284.47604179382324 ms
Time: 1715803820.864295, Delay: 53.12752723693848 ms
Time: 1715803821.386348, Delay: 53.026437759399414 ms
Time: 1715803821.675733, Delay: 55.34791946411133 ms
Time: 1715803821.986568, Delay: 72.66640663146973 ms
Time: 1715803822.456361, Delay: 234.25793647766113 ms
Time: 1715803822.901592, Delay: 52.655935287475586 ms
Time: 1715803823.18958, Delay: 53.97963523864746 ms
Time: 1715803823.506088, Delay: 80.2466869354248 ms
Time: 1715803823.9490619, Delay: 52.61349678039551 ms
Time: 1715803824.238878, Delay: 53.53283882141113 ms
Time: 1715803824.5585878, Delay: 79.59342002868652 ms
Time: 1715803824.996214, Delay: 56.0150146484375 ms
Time: 1715803825.2861462, Delay: 52.65665054321289 ms
Time: 1715803825.605124, Delay: 82.0302963256836 ms
Time: 1715803826.042353, Delay: 52.370548248291016 ms
Time: 1715803826.327101, Delay: 53.13301086425781 ms
Time: 1715803826.711744, Delay: 148.7255096435547 ms
Time: 1715803827.154763, Delay: 56.539297103881836 ms
Time: 1715803827.6768022, Delay: 55.75871467590332 ms
Time: 1715803827.9758458, Delay: 57.147979736328125 ms
Time: 1715803828.2764192, Delay: 65.52886962890625 ms
Time: 1715803828.820459, Delay: 301.51867866516113 ms
