Time: 1715822191.636808, Delay: 75.41847229003906 ms
Time: 1715822191.930221, Delay: 76.39336585998535 ms
Time: 1715822192.2364218, Delay: 87.11862564086914 ms
Time: 1715822192.533659, Delay: 78.5977840423584 ms
Time: 1715822192.8334908, Delay: 78.3987045288086 ms
Time: 1715822193.132833, Delay: 78.22132110595703 ms
Time: 1715822193.4283872, Delay: 78.55772972106934 ms
Time: 1715822193.7253299, Delay: 76.60460472106934 ms
Time: 1715822194.019018, Delay: 75.06418228149414 ms
Time: 1715822194.315256, Delay: 75.1502513885498 ms
Time: 1715822194.611626, Delay: 75.8829116821289 ms
Time: 1715822194.906817, Delay: 75.21295547485352 ms
Time: 1715822195.2007601, Delay: 74.62072372436523 ms
Time: 1715822195.495012, Delay: 77.58140563964844 ms
Time: 1715822195.7861, Delay: 73.25887680053711 ms
Time: 1715822196.078901, Delay: 75.50764083862305 ms
Time: 1715822196.37204, Delay: 75.7761001586914 ms
Time: 1715822196.668384, Delay: 77.82411575317383 ms
Time: 1715822196.959892, Delay: 73.67300987243652 ms
Time: 1715822197.26336, Delay: 79.60987091064453 ms
Time: 1715822197.562575, Delay: 76.16567611694336 ms
Time: 1715822197.859773, Delay: 79.81109619140625 ms
Time: 1715822198.155818, Delay: 77.64863967895508 ms
Time: 1715822198.446581, Delay: 72.60727882385254 ms
Time: 1715822198.7428532, Delay: 76.94458961486816 ms
Time: 1715822199.034979, Delay: 75.70862770080566 ms
Time: 1715822199.326878, Delay: 75.32119750976562 ms
Time: 1715822199.622352, Delay: 76.95722579956055 ms
Time: 1715822199.915791, Delay: 74.98741149902344 ms
Time: 1715822200.2073221, Delay: 75.46353340148926 ms
Time: 1715822200.4995148, Delay: 76.74026489257812 ms
Time: 1715822200.786047, Delay: 68.84026527404785 ms
Time: 1715822201.088012, Delay: 83.53304862976074 ms
Time: 1715822201.3805451, Delay: 74.8443603515625 ms
Time: 1715822201.6771479, Delay: 77.4693489074707 ms
Time: 1715822201.964631, Delay: 69.69857215881348 ms
Time: 1715822202.252343, Delay: 70.39022445678711 ms
Time: 1715822202.541288, Delay: 69.5657730102539 ms
Time: 1715822202.831103, Delay: 71.68364524841309 ms
Time: 1715822203.1244211, Delay: 75.72150230407715 ms
Time: 1715822203.4223099, Delay: 76.70092582702637 ms
Time: 1715822203.7150369, Delay: 73.45724105834961 ms
Time: 1715822204.007615, Delay: 74.22041893005371 ms
Time: 1715822204.303197, Delay: 77.24237442016602 ms
Time: 1715822204.598955, Delay: 77.01444625854492 ms
Time: 1715822204.8916109, Delay: 74.43046569824219 ms
Time: 1715822205.187358, Delay: 77.79240608215332 ms
Time: 1715822205.479312, Delay: 76.18403434753418 ms
Time: 1715822205.771517, Delay: 76.6608715057373 ms
Time: 1715822206.066418, Delay: 75.50668716430664 ms
Time: 1715822206.360163, Delay: 76.11513137817383 ms
Time: 1715822206.652698, Delay: 74.90253448486328 ms
Time: 1715822206.945364, Delay: 73.99153709411621 ms
Time: 1715822207.240641, Delay: 76.95603370666504 ms
Time: 1715822207.532785, Delay: 74.6300220489502 ms
Time: 1715822207.834817, Delay: 83.60934257507324 ms
Time: 1715822208.126909, Delay: 73.34756851196289 ms
Time: 1715822208.421403, Delay: 76.71952247619629 ms
Time: 1715822208.715262, Delay: 75.36816596984863 ms
Time: 1715822209.0077178, Delay: 73.49586486816406 ms
Time: 1715822209.300262, Delay: 74.23615455627441 ms
Time: 1715822209.599942, Delay: 81.84218406677246 ms
Time: 1715822209.8924632, Delay: 76.56717300415039 ms
Time: 1715822210.185172, Delay: 74.62167739868164 ms
Time: 1715822210.473372, Delay: 73.00186157226562 ms
Time: 1715822210.7638001, Delay: 72.87883758544922 ms
