Time: 1715822783.5809548, Delay: 109.28559303283691 ms
Time: 1715822783.961544, Delay: 148.48685264587402 ms
Time: 1715822784.264085, Delay: 77.56710052490234 ms
Time: 1715822784.6578932, Delay: 165.82751274108887 ms
Time: 1715822785.016018, Delay: 130.5980682373047 ms
Time: 1715822785.348827, Delay: 104.93326187133789 ms
Time: 1715822785.672689, Delay: 98.00004959106445 ms
Time: 1715822785.9954839, Delay: 98.32954406738281 ms
Time: 1715822786.313597, Delay: 91.77684783935547 ms
Time: 1715822786.647867, Delay: 109.62748527526855 ms
Time: 1715822786.9792268, Delay: 107.58328437805176 ms
Time: 1715822787.296478, Delay: 89.95223045349121 ms
Time: 1715822787.625921, Delay: 103.5451889038086 ms
Time: 1715822787.9260218, Delay: 74.30815696716309 ms
Time: 1715822788.230597, Delay: 78.8726806640625 ms
Time: 1715822788.537029, Delay: 79.48589324951172 ms
Time: 1715822788.848414, Delay: 83.68182182312012 ms
Time: 1715822789.161487, Delay: 88.37246894836426 ms
Time: 1715822789.468561, Delay: 80.40261268615723 ms
Time: 1715822789.7992399, Delay: 99.12300109863281 ms
Time: 1715822790.1213608, Delay: 99.56049919128418 ms
Time: 1715822790.419619, Delay: 72.28899002075195 ms
Time: 1715822790.725913, Delay: 82.39960670471191 ms
Time: 1715822791.033942, Delay: 82.22723007202148 ms
Time: 1715822791.335041, Delay: 76.05147361755371 ms
Time: 1715822791.643708, Delay: 82.46660232543945 ms
Time: 1715822791.975543, Delay: 104.7213077545166 ms
Time: 1715822792.316421, Delay: 113.14558982849121 ms
Time: 1715822792.6531231, Delay: 114.51268196105957 ms
Time: 1715822792.9500659, Delay: 74.05257225036621 ms
Time: 1715822793.252945, Delay: 79.26177978515625 ms
Time: 1715822793.559233, Delay: 79.61702346801758 ms
Time: 1715822793.8726559, Delay: 88.67692947387695 ms
Time: 1715822794.175084, Delay: 79.75602149963379 ms
Time: 1715822794.485138, Delay: 84.92159843444824 ms
Time: 1715822794.798738, Delay: 86.65990829467773 ms
