Time: 1715823325.022301, Delay: 410.2048873901367 ms
Time: 1715823325.3467782, Delay: 77.79312133789062 ms
Time: 1715823325.760402, Delay: 160.31408309936523 ms
Time: 1715823326.5029492, Delay: 506.33859634399414 ms
Time: 1715823326.857718, Delay: 114.63117599487305 ms
Time: 1715823327.2246668, Delay: 138.6737823486328 ms
Time: 1715823327.663009, Delay: 205.52325248718262 ms
Time: 1715823329.940371, Delay: 2047.104835510254 ms
Time: 1715823331.2801878, Delay: 1109.2100143432617 ms
Time: 1715823332.064964, Delay: 554.2261600494385 ms
Time: 1715823332.433555, Delay: 132.78865814208984 ms
Time: 1715823332.826133, Delay: 164.98088836669922 ms
Time: 1715823333.2347038, Delay: 178.12585830688477 ms
Time: 1715823334.104497, Delay: 640.4588222503662 ms
Time: 1715823334.484201, Delay: 148.65469932556152 ms
Time: 1715823334.851058, Delay: 137.26210594177246 ms
Time: 1715823335.222547, Delay: 143.19944381713867 ms
Time: 1715823335.579377, Delay: 128.22461128234863 ms
Time: 1715823335.973591, Delay: 158.19430351257324 ms
Time: 1715823336.400351, Delay: 198.94790649414062 ms
Time: 1715823337.255201, Delay: 624.7589588165283 ms
Time: 1715823337.6225731, Delay: 137.21108436584473 ms
Time: 1715823337.997944, Delay: 146.54898643493652 ms
Time: 1715823338.3885381, Delay: 160.61973571777344 ms
Time: 1715823338.7778938, Delay: 157.82570838928223 ms
Time: 1715823339.1791942, Delay: 172.72615432739258 ms
Time: 1715823339.5619662, Delay: 153.48052978515625 ms
Time: 1715823339.937363, Delay: 147.61948585510254 ms
Time: 1715823340.297871, Delay: 135.91647148132324 ms
Time: 1715823340.656592, Delay: 128.61084938049316 ms
Time: 1715823341.0359318, Delay: 151.34787559509277 ms
Time: 1715823341.420202, Delay: 158.42199325561523 ms
Time: 1715823341.789483, Delay: 135.24174690246582 ms
Time: 1715823342.1715178, Delay: 153.39207649230957 ms
Time: 1715823342.552406, Delay: 154.21009063720703 ms
Time: 1715823342.942206, Delay: 152.01258659362793 ms
Time: 1715823343.3441532, Delay: 165.52257537841797 ms
Time: 1715823343.748922, Delay: 176.89037322998047 ms
Time: 1715823346.831229, Delay: 2851.0477542877197 ms
Time: 1715823347.791258, Delay: 731.839656829834 ms
Time: 1715823348.173669, Delay: 150.2988338470459 ms
Time: 1715823349.4359522, Delay: 1032.0024490356445 ms
Time: 1715823349.798094, Delay: 130.15413284301758 ms
Time: 1715823350.155998, Delay: 126.43957138061523 ms
Time: 1715823350.521673, Delay: 134.1416835784912 ms
Time: 1715823350.9080052, Delay: 158.06126594543457 ms
Time: 1715823351.277323, Delay: 141.47233963012695 ms
Time: 1715823351.686122, Delay: 179.6250343322754 ms
Time: 1715823352.49024, Delay: 575.4084587097168 ms
Time: 1715823353.313239, Delay: 594.506025314331 ms
Time: 1715823353.7155, Delay: 171.5068817138672 ms
Time: 1715823354.937491, Delay: 987.5662326812744 ms
Time: 1715823355.31492, Delay: 151.04365348815918 ms
Time: 1715823355.812018, Delay: 251.17945671081543 ms
Time: 1715823356.194916, Delay: 143.99409294128418 ms
Time: 1715823356.556951, Delay: 102.0364761352539 ms
Time: 1715823356.989415, Delay: 128.6633014678955 ms
Time: 1715823357.856052, Delay: 576.6847133636475 ms
Time: 1715823358.2532601, Delay: 132.83085823059082 ms
Time: 1715823358.586331, Delay: 97.60808944702148 ms
Time: 1715823359.441238, Delay: 614.5031452178955 ms
Time: 1715823359.812882, Delay: 137.86840438842773 ms
Time: 1715823360.2071831, Delay: 138.12851905822754 ms
Time: 1715823361.063696, Delay: 605.2205562591553 ms
Time: 1715823362.562295, Delay: 1269.4149017333984 ms
Time: 1715823362.937567, Delay: 132.6124668121338 ms
Time: 1715823363.313612, Delay: 114.2728328704834 ms
Time: 1715823364.117586, Delay: 564.6815299987793 ms
Time: 1715823364.455455, Delay: 105.6067943572998 ms
Time: 1715823365.333225, Delay: 554.816484451294 ms
Time: 1715823367.587978, Delay: 1999.9206066131592 ms
Time: 1715823368.420212, Delay: 574.3293762207031 ms
Time: 1715823368.883561, Delay: 167.3104763031006 ms
Time: 1715823369.730073, Delay: 609.1959476470947 ms
Time: 1715823370.037716, Delay: 81.46429061889648 ms
Time: 1715823370.40213, Delay: 132.15065002441406 ms
Time: 1715823370.775232, Delay: 125.6704330444336 ms
Time: 1715823372.4846542, Delay: 1437.3443126678467 ms
Time: 1715823372.88592, Delay: 143.23759078979492 ms
Time: 1715823373.3577821, Delay: 121.72102928161621 ms
Time: 1715823373.7250218, Delay: 103.03354263305664 ms
Time: 1715823374.5662441, Delay: 614.7623062133789 ms
Time: 1715823374.94232, Delay: 125.91075897216797 ms
Time: 1715823375.759328, Delay: 575.6425857543945 ms
Time: 1715823376.164972, Delay: 173.3081340789795 ms
Time: 1715823376.5602791, Delay: 131.2093734741211 ms
Time: 1715823376.949697, Delay: 129.0750503540039 ms
Time: 1715823377.743123, Delay: 558.218240737915 ms
Time: 1715823378.161567, Delay: 124.15456771850586 ms
Time: 1715823379.8703601, Delay: 1431.354284286499 ms
Time: 1715823380.4050229, Delay: 126.78647041320801 ms
Time: 1715823380.778837, Delay: 127.16341018676758 ms
Time: 1715823381.216531, Delay: 167.39273071289062 ms
Time: 1715823382.077953, Delay: 630.2289962768555 ms
Time: 1715823382.929848, Delay: 601.4764308929443 ms
Time: 1715823383.309332, Delay: 139.17827606201172 ms
Time: 1715823383.7009559, Delay: 141.77894592285156 ms
Time: 1715823384.960286, Delay: 1004.1935443878174 ms
Time: 1715823385.811145, Delay: 598.7212657928467 ms
Time: 1715823386.201828, Delay: 162.8098487854004 ms
Time: 1715823386.598196, Delay: 122.96867370605469 ms
Time: 1715823386.9732742, Delay: 143.59021186828613 ms
Time: 1715823387.861484, Delay: 622.4203109741211 ms
Time: 1715823388.698084, Delay: 600.792407989502 ms
Time: 1715823389.05951, Delay: 99.12228584289551 ms
Time: 1715823389.90495, Delay: 587.2666835784912 ms
Time: 1715823390.280958, Delay: 131.56533241271973 ms
Time: 1715823390.683806, Delay: 144.84000205993652 ms
Time: 1715823391.9799428, Delay: 1051.785945892334 ms
Time: 1715823393.2679832, Delay: 1004.098653793335 ms
Time: 1715823394.1252952, Delay: 588.0932807922363 ms
Time: 1715823394.555691, Delay: 157.70220756530762 ms
Time: 1715823395.385383, Delay: 595.3531265258789 ms
Time: 1715823395.735923, Delay: 117.49958992004395 ms
Time: 1715823396.1286988, Delay: 128.9386749267578 ms
Time: 1715823396.552139, Delay: 128.05581092834473 ms
Time: 1715823396.914813, Delay: 123.09479713439941 ms
Time: 1715823397.267273, Delay: 120.83983421325684 ms
Time: 1715823397.683897, Delay: 151.66401863098145 ms
Time: 1715823398.529597, Delay: 604.957103729248 ms
Time: 1715823398.9624221, Delay: 150.11119842529297 ms
Time: 1715823400.748427, Delay: 1558.9125156402588 ms
Time: 1715823401.123289, Delay: 132.84587860107422 ms
Time: 1715823401.588817, Delay: 134.67764854431152 ms
Time: 1715823401.9706209, Delay: 124.54843521118164 ms
Time: 1715823402.878598, Delay: 621.2201118469238 ms
Time: 1715823403.7719522, Delay: 615.0016784667969 ms
Time: 1715823404.138089, Delay: 128.8912296295166 ms
Time: 1715823404.5043252, Delay: 136.05475425720215 ms
Time: 1715823405.4431171, Delay: 648.414134979248 ms
Time: 1715823406.415819, Delay: 627.3982524871826 ms
Time: 1715823406.756472, Delay: 113.24429512023926 ms
Time: 1715823407.1763892, Delay: 163.01465034484863 ms
Time: 1715823409.669133, Delay: 2244.339942932129 ms
Time: 1715823410.545989, Delay: 647.3557949066162 ms
Time: 1715823410.941806, Delay: 144.0751552581787 ms
Time: 1715823411.3384058, Delay: 166.40853881835938 ms
Time: 1715823411.740535, Delay: 172.6851463317871 ms
Time: 1715823413.083912, Delay: 1079.9145698547363 ms
Time: 1715823413.53875, Delay: 172.4987030029297 ms
Time: 1715823414.600846, Delay: 665.1382446289062 ms
Time: 1715823415.564924, Delay: 700.1516819000244 ms
Time: 1715823415.991526, Delay: 172.90377616882324 ms
Time: 1715823416.469425, Delay: 159.1031551361084 ms
Time: 1715823417.4199412, Delay: 697.5703239440918 ms
Time: 1715823418.341826, Delay: 653.6822319030762 ms
Time: 1715823418.736405, Delay: 156.2342643737793 ms
Time: 1715823419.152415, Delay: 166.53990745544434 ms
Time: 1715823420.022347, Delay: 630.8977603912354 ms
Time: 1715823420.414979, Delay: 147.1092700958252 ms
Time: 1715823421.4813418, Delay: 815.117359161377 ms
Time: 1715823422.38738, Delay: 656.7361354827881 ms
Time: 1715823422.823433, Delay: 141.2522792816162 ms

